OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1307,GG-DC-S-02,4.96,0.59,0.115,1.73,89.4,,0,32.03519821,299.4649963,3.101860046,3.101860046,1,-0.856271982,0.856271982,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,45.16739303
1308,GG-DC-S-03,6.1,0.67,0.07,1.73,103.13,,0,39.11930084,330.9320068,-0.153602004,0.153602004,0,0.096642204,0.096642204,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,45.06065926
1309,GG-DC-S-04,5.28,0.47,0.095,1.96,72.97,,0,25.38809967,283.3630066,0.0251968,0.0251968,1,2.490530014,2.490530014,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,45.08385298
1310,GG-DC-S-05,5.59,1.47,0.095,3.25,63.8,,0,25.3173008,259.5769958,-1.496809959,1.496809959,0,2.931649923,2.931649923,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.31914376
1311,GG-DC-S-06,5.56,0.36,0.03,4.19,69.47,,0,29.85210037,232.5890045,1.914590001,1.914590001,1,0.114113003,0.114113003,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.30478169
1312,GG-DC-S-07,5.46,1.76,0.07,1.57,84.27,,0,18.1303997,225.7120056,0.38231501,0.38231501,1,-0.185495004,0.185495004,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.32575652
1313,GG-DC-S-08,5.48,1.45,0.01,2.42,74.97,,0,18.1303997,225.7120056,0.38231501,0.38231501,1,-0.185495004,0.185495004,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.32575652
1314,GG-DC-S-09,4.19,0.84,0.1,7.06,66.17,,0,9.259200096,224.6860046,-0.953266025,0.953266025,0,1.247599959,1.247599959,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.35214305
1315,GG-DC-S-10,5.49,0.87,0.12,2.85,66.37,,0,16.41530037,218.4600067,0.40159899,0.40159899,1,-0.973339975,0.973339975,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.37313685
1316,GG-DC-S-11,5.33,0.24,0.12,3.79,69.9,,0,16.41530037,218.4600067,0.40159899,0.40159899,1,-0.973339975,0.973339975,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.37313685
1317,GG-DC-S-12,5.32,1.47,0.025,2.8,70.8,,0,10.25650024,202.8730011,-0.048766199,0.048766199,0,-0.526794016,0.526794016,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.43197044
1318,GG-DC-S-13,5.18,1.26,0.04,2.75,48.7,,0,14.05319977,202.1100006,-0.250611007,0.250611007,0,-0.406677991,0.406677991,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.45431925
1319,GG-DC-S-14,5.11,0.34,0.03,1.82,59.73,,0,14.05319977,202.1100006,-0.250611007,0.250611007,0,-0.406677991,0.406677991,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,45.45431925
